4FGL-v30,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,pindex,curvature,e0,sin_b,uw_name,bb_var,association,category
4FGL J1710.0+4629,0.013979800537681952,76.82904982601758,0.05770274658133838,36.36287722156694,72.3348285285872,1.1231694772265348e-12,1,,4.671412467956543,2.12949521,0.2011654291421361,2586.890983954824,0.5928972595512889,J1710.1+4629,-0.0,unid,unid
4FGL J1710.1-2030,0.05417326708528945,91.0363980010152,0.08868552930353049,11.395922248570898,2.63280328398106,5.477951375760837e-12,1,bcu,11.522967338562012,2.58660425,0.12697939776538103,998.6371589328376,0.1975875737943041,J1709.9-2029,-0.0,bcu,bcu
4FGL J1710.3-3039,0.04142145223521061,81.6659434796311,0.05837973242124135,5.462676024168772,354.32414665518957,3.120033409743233e-12,1,,7.8179931640625,2.28712759,0.5595723497221927,2555.641945233735,0.09519730499884398,J1710.1-3037,0.00017183274030685425,unid,unid
4FGL J1710.3-3943,0.04769264580374873,268.63014424871653,0.05724817316714339,0.03462075289722229,347.05199121822005,1.6860119315668327e-11,1,bcu,10.058736801147461,2.4944918,0.5306347366040853,2347.8550682825407,0.000604246090806171,J1710.5-3941,-0.0,bcu,bcu
4FGL J1710.8+1135,0.18758626075855228,38.60085897054523,0.26366052468685086,27.35034335292765,32.16056399229791,2.228945937014963e-12,6,,15.827168464660645,2.8461451,0.905625802636334,458.146905146909,0.45943016732363057,J1711.3+1128,68.89312271805477,unid,unid
4FGL J1710.9-5247,0.026062680400698045,55.32110737543553,0.08649506202553256,-7.738884863063847,336.44444935492805,4.364070809993096e-12,8,unk,15.745026588439941,2.55460372,0.025345852003455516,1377.8185026931965,-0.13465870397803184,J1710.8-5248,174.8131280616169,other,
4FGL J1711.0-3002,0.014900239247118911,238.8625787915662,0.051162830314203475,5.6338481473427,354.9187624371221,5.932870274185253e-12,1,,3.8073790073394775,2.33678491,0.7106355026813116,1712.9046266071546,0.0981708248446972,J1711.1-3002,0.0007318221032619476,unid,unid
4FGL J1711.1+0242,0.014052246493291797,37.29870098433457,0.05218016644957452,23.4895688286661,23.44760777992392,7.726590006941394e-13,1,bcu,7.43405294418335,1.83848724,0.7423055187431249,6032.099278945175,0.3985821039338234,J1711.0+0242,9.243189941798846e-05,bcu,bcu
4FGL J1711.4-2526,0.03609449423159177,95.36470532184468,0.08204229084921871,8.280001548109206,358.76486004720516,4.298856994763584e-12,1,,12.31608772277832,2.40793641,0.45237244867115667,1282.8576211815491,0.1440108092902058,J1711.4-2524,0.0005799401551485062,unid,unid
4FGL J1711.6-5027,0.0023936388537262364,170.84186999406666,0.041246970299972756,-6.459469980156775,338.44664438035846,9.944371897775069e-12,10,bcu,18.276996612548828,2.61659363,0.034065073743005936,1334.6364709490858,-0.11250035036696457,J1711.5-5027,174.27786518712696,bcu,bcu
4FGL J1711.6-3407,0.021831807446758673,72.79657319467515,0.10850208631519305,3.1589438116736286,351.6837715403195,5.164333947977599e-12,4,unk,13.693260192871094,2.58972649,0.32369469048014743,1873.9025238486056,0.055106042353394794,J1711.6-3406,38.60966493979845,other,
4FGL J1711.9-1922,0.016802888807914865,236.54342006356453,0.03522229719502791,11.65573588497964,3.859864905694971,4.656444205970988e-12,1,,9.082313537597656,2.21653629,0.3149423930262185,2239.941037980034,0.2020307318804826,J1711.9-1921,-0.0,unid,unid
4FGL J1711.9-4056c,0.024912569345549297,32.401674546301365,0.05905191613715519,-0.9102823765019772,346.17376659472865,2.546369119875315e-12,2,,19.138696670532227,1.89579495,0.4913813800792144,13479.713080453188,-0.01588675624311059,J1711.8-4057,0.40218266417601,unid,unid
4FGL J1712.5-4642,0.2046369468824134,65.56436142325401,0.13701814403768817,-4.541312170818008,341.4524805429306,4.947469716158847e-12,1,spp,11.089034080505371,2.54081446,0.3725370408809048,1167.808368805277,-0.0791778859671204,J1712.7-4654,0.0011571012437343597,other,
4FGL J1712.5-3142,0.04335509096648828,57.41185298003256,0.15177362998115432,4.382166798355973,353.77509928518987,7.740875316851458e-12,2,bcu,7.538327693939209,2.43428276,0.07717315293065408,1669.8503492607438,0.07640869365610176,J1712.7-3142,17.57219537061974,bcu,bcu
4FGL J1712.7+2932,0.02481493586311454,292.032326992834,0.028398676315412402,33.21555105336194,51.97684349201176,3.4216348311569507e-12,1,bll,4.720880031585693,1.69462926,0.10391912917979695,5516.139641988039,0.5477903154504128,J1712.8+2931,0.0021431641653180122,bll,bll
4FGL J1712.9-4105,0.023720912662319245,37.07800396159291,0.05557462942002282,-1.155188112491549,346.20841270885603,6.812387597856371e-12,1,,8.968680381774902,2.20842012,-0.003978356140410533,5250.404508353823,-0.02016047010748168,J1712.9-4104,-0.0,unid,unid
4FGL J1713.0-0521,0.15331558767732759,68.98787355329841,0.1689460946421714,19.137928164166492,16.31972806149315,5.089191721630837e-12,6,,30.99883270263672,2.68758634,0.2150996486297574,892.3942468984026,0.3278433563403259,J1712.9-0512,145.61827449609336,unid,unid
4FGL J1713.0-4236c,0.02893348155221274,91.27202664874494,0.0683931747968118,-2.071834609490731,345.00714478730237,9.535924175591032e-12,1,,5.723186492919922,2.6162833,0.1078769490674536,2652.470028812967,-0.036152455646753796,J1713.1-4234,-0.0,unid,unid
4FGL J1713.7+8844,0.013112669290912546,49.28499771538191,0.045578371352298266,27.644626862015734,121.61946033798475,8.440207357501723e-13,1,bcu,9.44509506225586,1.84637628,0.16967206246875643,6775.686658076782,0.4639861457925958,J1714.6+8843,-0.0,bcu,bcu
4FGL J1713.8+0747,0.009210443059932419,868.0694546360755,0.025794908968873233,25.219418720528136,28.756463111387294,8.313073938744135e-12,1,MSP,8.570613861083984,1.03019456,0.30495050238723564,1585.033933064586,0.42608593164150027,J1713.8+0747,0.0008893748745322227,psr,psr
4FGL J1714.0-2029,0.006472549931066613,115.84919257508592,0.03455827216217632,10.597103562704262,3.1946326707824952,5.177528018035469e-12,2,bcu,28.123550415039062,1.98146859,-0.07957004649828958,6037.913272819885,0.1839016606688046,J1714.0-2029,20.30711551148488,bcu,bcu
4FGL J1714.1-3811,0.027432514794366814,141.07356575597078,0.03969691055706705,0.35688307168046063,348.6430771779171,1.3345451995726238e-11,1,snr,10.24376106262207,1.97816831,0.056793183977726924,9853.006413425876,0.006228744368386386,J1714.0-3812,8.097290992736816e-05,other,
4FGL J1714.2-2928,0.02646684513313091,112.9973169104196,0.06670332015677687,5.39410359493962,355.7984101161071,5.703783285109762e-12,1,glc,15.572929382324219,2.55830254,0.3050671339148159,1577.8157347194328,0.0940058578637074,J1714.3-2928,0.002042725682258606,other,
4FGL J1714.3-4320c,0.3558721059807055,84.55009921640158,0.2259801684957943,-2.476741000890468,344.8120311480781,1.237574359338515e-11,1,,10.183436393737793,2.57640485,-0.006276386040404702,2933.9803066932304,-0.04321382403797803,J1714.3-4258,0.0010887905955314636,unid,unid
4FGL J1714.6+3228,0.0028596296762284836,58.48101737513207,0.04913195940163909,33.54596284006761,55.51156126284717,1.0764775620799929e-12,2,,16.120725631713867,1.80537772,0.05486310259519844,7410.87622706722,0.5526057532651424,J1714.6+3227,0.973651768062723,unid,unid
4FGL J1714.8-3849,0.011078430777314003,419.74343020655215,0.04104142889816143,-0.13404007497157422,348.2610060895964,3.621562423156249e-11,1,,2.435859203338623,2.61123864,0.20283659157096512,2131.2216701726984,-0.0023394385039216545,J1714.9-3848,-0.0,unid,unid
4FGL J1714.9-3324,0.03452405858135214,156.9906725892797,0.06214723089997735,3.0185074193874173,352.6843305869511,5.084704913595468e-12,3,,4.567643642425537,2.40536669,0.6791158739327119,3288.9995298371664,0.05265852622996743,J1715.0-3322,42.60239459939572,unid,unid
